expediente_id,municipio,tipo_proceso,despacho,anio_radicacion,ivf_score,carga_despacho,n_audiencias,apelacion,duracion_dias,terminado
EXP-00001,GUADALAJARA DE BUGA,HURTO_PATRIMONIAL,Juzgado_Penal_Municipal_2,2024,53,1.05,5,0,214,1
EXP-00002,CANDELARIA,ALIMENTOS,Juzgado_3_Familia,2020,48,0.95,3,0,194,1
EXP-00003,YUMBO,ALIMENTOS,Juzgado_1_Familia,2022,62,1.35,6,0,272,1
EXP-00004,ZARZAL,ALIMENTOS,Juzgado_Penal_Municipal_1,2021,33,1.25,8,0,380,0
EXP-00005,GUADALAJARA DE BUGA,ALIMENTOS,Juzgado_1_Familia,2024,53,1.35,6,0,231,0
EXP-00006,GUADALAJARA DE BUGA,VIF,Juzgado_Penal_Municipal_2,2021,53,1.05,2,0,132,1
EXP-00007,ZARZAL,VIF,Juzgado_2_Familia,2023,33,1.2,1,0,84,1
EXP-00008,CANDELARIA,VIF,Comisaria_1_Familia,2020,48,1.1,1,0,145,1
EXP-00009,JAMUNDI,VIF,Juzgado_1_Familia,2022,67,1.35,4,0,207,1
EXP-00010,CALI,ALIMENTOS,Juzgado_1_Familia,2024,82,1.35,10,1,617,1
EXP-00011,JAMUNDI,SUSTANCIAS,Juzgado_2_Familia,2021,67,1.2,7,0,305,1
EXP-00012,GUADALAJARA DE BUGA,ALIMENTOS,Comisaria_2_Familia,2024,53,0.9,7,0,333,1
EXP-00013,ZARZAL,HURTO_PATRIMONIAL,Comisaria_2_Familia,2023,33,0.9,7,0,269,1
EXP-00014,FLORIDA,VIF,Juzgado_3_Familia,2020,44,0.95,2,0,86,1
EXP-00015,ZARZAL,ALIMENTOS,Juzgado_Penal_Municipal_2,2022,33,1.05,3,0,107,0
EXP-00016,BUENAVENTURA,VIF,Juzgado_Penal_Municipal_1,2023,89,1.25,7,0,309,1
EXP-00017,ZARZAL,HURTO_PATRIMONIAL,Juzgado_2_Familia,2021,33,1.2,9,0,427,1
EXP-00018,CARTAGO,HURTO_PATRIMONIAL,Juzgado_1_Familia,2022,58,1.35,8,1,599,1
EXP-00019,FLORIDA,ALIMENTOS,Juzgado_Penal_Municipal_2,2021,44,1.05,5,0,299,1
EXP-00020,FLORIDA,SUSTANCIAS,Juzgado_Penal_Municipal_1,2023,44,1.25,5,0,219,1
EXP-00021,EL CERRITO,VIF,Juzgado_2_Familia,2022,41,1.2,4,0,233,1
EXP-00022,ZARZAL,ALIMENTOS,Comisaria_1_Familia,2022,33,1.1,7,0,277,0
EXP-00023,YUMBO,VIF,Comisaria_1_Familia,2024,62,1.1,6,0,332,1
EXP-00024,CARTAGO,ALIMENTOS,Juzgado_Penal_Municipal_1,2023,58,1.25,7,1,424,1
EXP-00025,PALMIRA,ALIMENTOS,Juzgado_Penal_Municipal_2,2021,74,1.05,6,0,213,1
EXP-00026,PRADERA,HURTO_PATRIMONIAL,Juzgado_2_Familia,2024,38,1.2,7,1,457,1
EXP-00027,CARTAGO,VIF,Juzgado_1_Familia,2021,58,1.35,7,0,292,1
EXP-00028,PALMIRA,HURTO_PATRIMONIAL,Juzgado_3_Familia,2024,74,0.95,9,1,596,1
